title,family_id,season,color,adventurous,print,style,weather,level
Lina Cardigan longerred 8,Cardigan,8,red,2,smooth,casual,cold_season,2
Lina Cardigan longeryellow 8,Cardigan,8,yellow,2,smooth,casual,cold_season,2
Long Cardigan real blue dark 9,Cardigan,9,blue dark,1,smooth,classic,warm_season,2
Lua Cardigan colors blue dark 7,Cardigan,7,blue dark,3,horizontal_stripes,street,cold_season,2
Lua Cardigan colors gray 7,Cardigan,7,gray,3,horizontal_stripes,street,cold_season,2
Luce Cardigan shine gray 7,Cardigan,7,gray,2,smooth,boho,cold_season,2
Lulu Cardigan long black 7,Cardigan,7,black,2,smooth,casual,cold_season,2
Lulu Cardigan long brown 7,Cardigan,7,brown,2,smooth,casual,cold_season,2
Lulu Cardigan long gray 7,Cardigan,7,gray,2,smooth,casual,cold_season,2
Lulu Cardigan long green 7,Cardigan,7,green,2,smooth,casual,cold_season,2
Lulu Cardigan long yellow 7,Cardigan,7,yellow,2,smooth,casual,cold_season,2
Lulu Cardigan pep blue dark 7,Cardigan,7,blue dark,2,horizontal_stripes,classic,warm_season,2
Majo Cardigan breeze white 7,Cardigan,7,white,2,smooth,classic,cold_season,2
Majo Cardigan breeze yellow 7,Cardigan,7,yellow,2,smooth,classic,cold_season,2
Mariam Cardigan solidblack 8,Cardigan,8,black,3,smooth,boho,cold,2
Martin Cardigan knit black 9,Cardigan,9,black,3,smooth,boho,cold_season,2
Meabh Cardigan numph blue dark 8,Cardigan,8,blue dark,2,smooth,classic,cold_season,2
Mehr Cardigan longblack 9,Cardigan,9,black,2,smooth,casual,warm_season,2
Mehr Cardigan longblue dark 9,Cardigan,9,blue dark,2,smooth,casual,warm_season,2
Mehr Cardigan longbrown 9,Cardigan,9,brown,2,smooth,casual,warm_season,2
Mehr Cardigan longorange 9,Cardigan,9,orange,2,smooth,casual,warm_season,2
Melodia Cardigan grettebrown 7,Cardigan,7,brown,2,smooth,casual,warm_season,2
Melodia Cardigan grettegray 7,Cardigan,7,gray,2,smooth,casual,warm_season,2
Melodia Cardigan grettegreen 7,Cardigan,7,green,2,smooth,casual,warm_season,2
Minnie Cardigan knit black 7,Cardigan,7,black,2,smooth,classic,warm_season,2
Minnie Cardigan knit pink 7,Cardigan,7,pink,2,smooth,classic,warm_season,2
Minnie Cardigan knit yellow 7,Cardigan,7,yellow,2,smooth,classic,warm_season,2
Mira Cardigan shortblack 9,Cardigan,9,black,2,smooth,casual,warm_season,2
Mira Cardigan shortblue dark 9,Cardigan,9,blue dark,2,smooth,casual,warm_season,2
Mira Cardigan shortbrown 9,Cardigan,9,brown,2,smooth,casual,warm_season,2
Mira Cardigan shortorange 9,Cardigan,9,orange,2,smooth,casual,warm_season,2
Mou Cardigan knityellow 7,Cardigan,7,yellow,2,smooth,boho,cold_season,2
Nala Cardigan naisblue dark 7,Cardigan,7,blue dark,3,smooth,boho,warm_season,2
Nala Cardigan naisgreen 7,Cardigan,7,green,3,smooth,boho,warm_season,2
Nala Cardigan naispink 7,Cardigan,7,pink,3,smooth,boho,warm_season,2
Nala Cardigan naisyellow 7,Cardigan,7,yellow,3,smooth,boho,warm_season,2
Nelly Cardigan bohck green 9,Cardigan,9,green,2,smooth,boho,cold_season,2
Nessy Cardigan grette gray 9,Cardigan,9,gray,2,smooth,boho,cold,2
Niaka Cardigan soya black 8,Cardigan,8,black,2,smooth,boho,warm_season,2
Niaka Cardigan soya blue dark 8,Cardigan,8,blue dark,2,smooth,boho,warm_season,2
Niaka Cardigan soya green 8,Cardigan,8,green,2,smooth,boho,warm_season,2
Niaka Cardigan soya purple 8,Cardigan,8,purple,2,smooth,boho,warm_season,2
Nial Cardigan knitblue dark 7,Cardigan,7,blue dark,3,smooth,boho,warm_season,2
Nial Cardigan knitbrown 7,Cardigan,7,brown,3,smooth,boho,warm_season,2
Nial Cardigan knitred 7,Cardigan,7,red,3,smooth,boho,warm_season,2
Nmcash Cardigan v-neck blue dark 8,Cardigan,8,blue dark,3,horizontal_stripes,boho,cold,2
Nmcash Cardigan v-neck yellow 8,Cardigan,8,yellow,3,horizontal_stripes,boho,cold,2
Nmmetropol Cardigan long brown 8,Cardigan,8,brown,3,smooth,classic,cold_season,2
Nmmetropol Cardigan long orange 8,Cardigan,8,orange,3,smooth,classic,cold_season,2
Nona Cardigan short blue dark 7,Cardigan,7,blue dark,2,smooth,classic,cold_season,2
Nona Cardigan short yellow 7,Cardigan,7,yellow,2,smooth,classic,cold_season,2
Objmarly Cardigan almond orange 9,Cardigan,9,orange,3,smooth,boho,cold_season,2
Objnina Cardigan knit gray 9,Cardigan,9,gray,2,smooth,classic,cold_season,2
Objthessi Cardigan noos gray 8,Cardigan,8,gray,2,smooth,classic,warm_season,2
Objthessi Cardigan noos black 9,Cardigan,9,black,2,smooth,classic,warm_season,2
Objthessi Cardigan noos pink 9,Cardigan,9,pink,2,smooth,classic,warm_season,2
Onlbernice Cardigan knit green 8,Cardigan,8,green,2,smooth,boho,cold_season,2
Onlbernice Cardigan knit red 8,Cardigan,8,red,2,smooth,boho,cold_season,2
Onlbernice Cardigan knit yellow 8,Cardigan,8,yellow,2,smooth,boho,cold_season,2
Onlhavana Cardigan long blue light 8,Cardigan,8,blue light,3,smooth,boho,cold,2
Onlhavana Cardigan long brown 8,Cardigan,8,brown,3,smooth,boho,cold,2
Onlhavana Cardigan long red 8,Cardigan,8,red,3,smooth,boho,cold,2
Onljade Cardigan knit black 8,Cardigan,8,black,2,smooth,boho,cold_season,2
Onljade Cardigan knit orange 8,Cardigan,8,orange,2,smooth,boho,cold_season,2
Onljosie Cardigan knit green 7,Cardigan,7,green,4,horizontal_stripes,casual,cold_season,2
Onljosie Cardigan knit yellow 7,Cardigan,7,yellow,4,horizontal_stripes,casual,cold_season,2
Onllesly Cardigan kntblack 9,Cardigan,9,black,3,smooth,casual,cold_season,2
Onllesly Cardigan kntgreen 9,Cardigan,9,green,3,smooth,casual,cold_season,2
Onllesly Cardigan kntyellow 9,Cardigan,9,yellow,3,smooth,casual,cold_season,2
Onlmeredith Cardigan stripesgray 8,Cardigan,8,gray,2,horizontal_stripes,boho,cold_season,2
Onlmeredith Cardigan woolblack 8,Cardigan,8,black,2,smooth,boho,cold_season,2
Onlserena Cardigan stripes black 9,Cardigan,9,black,2,horizontal_stripes,casual,warm_season,2
Onlserena Cardigan stripes pink 9,Cardigan,9,pink,2,horizontal_stripes,casual,warm_season,2
Onlserena Cardigan stripes white 9,Cardigan,9,white,2,horizontal_stripes,casual,warm_season,2
Onlsoho Cardigan noos blue dark 7,Cardigan,7,blue dark,2,smooth,classic,cold_season,2
Onlsoho Cardigan noos gray 7,Cardigan,7,gray,2,smooth,classic,cold_season,2
Onlsoho Cardigan noos pink 7,Cardigan,7,pink,2,smooth,classic,cold_season,2
Onlsoho Cardigan noos black 9,Cardigan,9,black,2,smooth,classic,cold_season,2
Onlsoho Cardigan noos gray 9,Cardigan,9,gray,2,smooth,classic,cold_season,2
